ipc,numer_people_reached_target
MFK-HT-10-015,
MFK-HT-10-017,
MFK-HT-10-018,
MFK-HT-10-019,
MFK-HT-10-020,
MFK-HT-10-021,
MFK-HT-10-022,
MFK-HT-10-023,
MFK-HT-10-024,
MFK-HT-10-025,
MFK-HT-10-026,
MFK-HT-10-027,
MFK-HT-10-028,
MFK-HT-10-029,
MFK-HT-10-030,
MFK-HT-10-031,
MFK-HT-10-032,
MFK-HT-10-033,
MFK-HT-10-034,
MFK-HT-10-035,
MFK-HT-10-036,
MFK-HT-10-037,
MC-HT-10-001,35000
MC-HT-10-002,35000
MC-HT-10-003,155000
MC-HT-10-004,1560
MC-HT-10-005,10000
MC-HT-10-006,135000
MC-HT-10-007,27500
MC-HT-10-008,29785
MC-HT-10-009,100000
MC-HT-10-010,74000
MC-HT-10-011,601
MC-HT-10-012,2080
MC-HT-10-013,77000
MC-HT-10-014,500
MC-HT-10-015,5000
MC-HT-10-016,13000
OBI-HT-10-001,29500
OBI-HT-10-002,4500
OBI-HT-10-003,
OBI-HT-10-004,700
OBI-HT-10-005,
OBI-HT-10-006,
OBI-HT-10-007,
OBI-HT-10-008,
OBI-HT-10-009,
OBI-HT-10-010,
OBI-HT-10-011,
OBI-HT-10-012,
OBI-HT-10-013,
OBI-HT-10-014,
OBI-HT-10-015,
OBI-HT-10-016,350
OBI-HT-10-017,150
OBI-HT-10-018,
OBI-HT-10-019,
OBI-HT-10-020,
OBI-HT-10-021,
OBI-HT-10-022,
OBI-HT-10-023,
OPUSA-HT-10-001,
OPUSA-HT-10-002,
OPUSA-HT-10-003,
OPUSA-HT-10-004,
OPUSA-HT-10-005,
OPUSA-HT-10-006,
OXFA-HT-10-001,252000
OXFA-HT-10-002,79136
OXFA-HT-10-003,122525
OXFA-HT-10-004,11525
PADF-HT-10-001,
PADF-HT-10-002,
PADF-HT-10-003,
PADF-HT-10-004,1000000
PDT-HT-09-001,1500
PFP-HT-10-001,
PFP-HT-10-002,
PLAN-HT-10-001,
PLAN-HT-10-002,
PLAN-HT-10-003,
PLAN-HT-10-004,
PLAN-HT-10-005,
PLAN-HT-10-006,
PLAN-HT-10-007,
PLAN-HT-10-008,
PLAN-HT-10-009,
PLAN-HT-10-010,
PLANT-HT-10-001,26400
PLANT-HT-10-002,24000
CURE-HT-10-20916,18000
CURE-HT-10-10935,18000
CURE-HT-10-10936,18000
CURE-HT-10-20918,18000
CURE-HT-10-30912,18000
CURE-HT-10-20919,18000
CURE-HT-10-10937,18000
CURE-HT-10-40917,18000
CURE-HT-10-20921,18000
CURE-HT-10-10939,18000
CURE-HT-10-20830,18000
CURE-HT-10-20923,18000
CURE-HT-10-20927,18000
CURE-HT-10-10944,18000
CURE-HT-10-40921,18000
CURE-HT-10-10955,18000
CURE-HT-10-30916,18000
CURE-HT-10-30917,18000
CURE-HT-10-11011,18000
CURE-HT-10-21009,9000
CURE-HT-10-11030,9000
CURE-HT-10-31004,18000
CURE-HT-10-11034,18000
PCI-HT-10-001,
RI-HT-10-001,230000
RI-HT-10-002,11000
RI-HT-10-003,31900
RI-HT-10-004,145389
SAWSO-HT-10-001,20000
SAWSO-HT-10-002,20000
SAWSO-HT-10-003,650
SAWSO-HT-10-004,250
SAWSO-HT-10-005,2400
SAWSO-HT-10-006,960
SAWSO-HT-10-007,20000
SAWSO-HT-10-008,15000000
SAWSO-HT-10-009,9000
STC-HT-10-003,
STC-HT-10-001,
STC-HT-10-004,
STC-HT-10-005,
STC-HT-10-002,
STC-HT-10-006,
SOLAR-HT-10-001,425
STOP-HT-10-0186-0188,49248
STOP-HT-10-0190,38880
STOP-HT-10-0181/0193,498960
STOP-HT-10-0189,142560
STOP-HT-10-0194,142560
STOP-HT-10-0204,285120
STOP-HT-10-0213,200000
STOP-HT-10-0209,285120
STOP-HT-10-0232,270864
STOP-HT-10-HOM,982680
STOP-HT-10-MOH,2167954
STOP-HT-10-0221,142560
USCRI-HT-10-001,12000
USCRI-HT-10-002,75000
UMCOR-HT-10-NHOC02,1700
UMCOR-HT-10-418325-1,32
UMCOR-HT-10-418325-2,7
UMCOR-HT-10-418325-3,90
UMCOR-HT-10-418790,20001
UMCOR-HT-10-418325-4,
UMCOR-HT-10-418325-5,
UMCOR-HT-10-418325-6,26
UMCOR-HT-10-418325-7,1640
UMCOR-HT-10-418325-8,170
UMCOR-HT-10-418325-9,102
UMCOR-HT-10-418325-10,
UMCOR-HT-10-418325-11,
UMCOR-HT-10-418325-12,33
UMCOR-HT-10-418325-13,7056
UMCOR-HT-10-418325-14,60
UMCOR-HT-10-418325-15,433
UWW-HT-10-001,600
UWW-HT-10-002,15000
WINRO-HT-08-001,
WC-HT-10-001,21000
WC-HT-10-002,58817
WC-HT-10-003,20000
WC-HT-10-004,10000
WC-HT-10-005,7000
WC-HT-10-006,900
WC-HT-10-007,900
WC-HT-10-008,70
WC-HT-10-009,
WH-HT-10-001,
WH-HT-10-002,
WH-HT-10-003,
WH-HT-10-004,
WH-HT-10-005,
WH-HT-10-006,
WH-HT-10-007,16103
WH-HT-10-008,17500
WH-HT-10-009,
WH-HT-10-010,
WH-HT-10-011,
WN-HT-95-001,88594
WR-HT-10-001,30300
WR-HT-10-002,6000
WV-HT-10-001,
WV-HT-10-002,
WV-HT-10-003,
WV-HT-10-004,
WV-HT-10-005,
WV-HT-10-006,
WV-HT-10-007,
WV-HT-10-008,
WV-HT-10-009,
