Id,iso,_1st Administrative Level Name,lat,lon
393,BHS,Rum Cay,23.69266465,-74.88426538
394,BHS,San Salvador,24.03679394,-74.49302253
395,BHS,South Abaco,26.04682822,-77.24371295
396,BHS,South Andros,23.92355733,-77.64880753
397,BHS,South Eleuthera,24.81177934,-76.20367037
398,BHS,Spanish Wells,25.51063845,-76.85100817
399,BHS,West Grand Bahama,26.62479182,-78.62036585
400,BIH,Federacija Bosna i Hercegovina,44.09714989,17.51923462
401,BIH,Repuplika Srpska,44.26594018,18.09884482
402,BLR,Brest,52.38876993,25.48944431
403,BLR,Homyel',52.30340781,29.66494666
404,BLR,Hrodna,53.72386885,25.18174672
405,BLR,Mahilyow,53.6091328,30.44439376
406,BLR,Minsk,53.77041002,27.68356213
407,BLR,Vitsyebsk,55.21798698,28.94403459
408,BLZ,Belize,17.52900496,-88.35363647
409,BLZ,Cayo,17.11627039,-88.86617496
410,BLZ,Corozal,18.21891111,-88.25737946
411,BLZ,Orange Walk,17.84069327,-88.73859489
412,BLZ,Stann Creek,16.85973038,-88.44504048
413,BLZ,Toledo,16.34661236,-88.89070573
414,BMU,Devonshire,32.30401828,-64.75775117
415,BMU,Hamilton,32.33635434,-64.72087762
416,BMU,Hamilton Municipality,32.29345913,-64.7862609
417,BMU,Paget,32.28316535,-64.77821821
418,BMU,Pembroke,32.29680493,-64.79972811
419,BMU,Hamilton City,32.34564285,-64.68771965
420,BMU,Saint George's,32.36796455,-64.67785921
421,BMU,Sandys,32.29049546,-64.86636129
422,BMU,Smiths,32.31535605,-64.73185085
423,BMU,Southampton,32.25471351,-64.84675582
424,BMU,Warwick,32.26658932,-64.80845535
425,BOL,Beni,-13.85661154,-65.15384976
426,BOL,Chuquisaca,-20.03866053,-64.29023968
427,BOL,Cochabamba,-17.23216484,-65.63291732
428,BOL,La Paz,-15.2230014,-68.1255194
429,BOL,Oruru,-18.62618565,-67.69140764
430,BOL,Pando,-11.09125822,-67.31771833
431,BOL,Potosí,-20.53805043,-66.72667155
432,BOL,Santa Cruz,-17.29422485,-61.46098744
433,BOL,Tarija,-21.5925861,-63.8830757
434,BRA,Acre,-9.309916691,-70.44666618
435,BRA,Alagoas,-9.515553606,-36.62319563
436,BRA,Amapá,1.440043413,-51.96103311
437,BRA,Amazonas,-4.192629729,-64.69348647
438,BRA,Bahia,-12.47331116,-41.73007712
439,BRA,Ceará,-5.091464342,-39.61790206
440,BRA,Distrito Federal,-15.78111947,-47.79722601
441,BRA,Espírito Santo,-19.6426718,-40.66114904
442,BRA,Goiás,-16.04442877,-49.62332077
443,BRA,Maranhão,-5.068699327,-45.28740694
444,BRA,Mato Grosso,-12.94959989,-55.91920106
445,BRA,Mato Grosso do Sul,-20.32589832,-54.84547024
446,BRA,Minas Gerais,-18.45798564,-44.65770348
447,BRA,Pará,-3.97338041,-53.06252532
448,BRA,Paraíba,-7.142568546,-36.87254736
449,BRA,Paraná,-24.63683121,-51.62375037
450,BRA,Pernambuco,-8.326044248,-37.99888239
451,BRA,Piauí,-7.384484429,-42.96912489
452,BRA,Rio de Janeiro,-22.19491899,-42.66135389
453,BRA,Rio Grande do Norte,-5.846985301,-36.68216566
454,BRA,Rio Grande do Sul,-29.73783889,-53.31683673
455,BRA,Rondônia,-10.89856477,-62.85654948
456,BRA,Roraima,2.084692174,-61.39801939
457,BRA,Santa Catarina,-27.25191559,-50.4662665
458,BRA,São Paulo,-22.26541291,-48.73276068
459,BRA,Sergipe,-10.59088952,-37.4460665
460,BRA,Tocantins,-10.15018369,-48.33000124
461,BRB,Christ Church,13.08262515,-59.53066581
462,BRB,Saint Andrew,13.24331232,-59.5756672
463,BRB,Saint George,13.13731709,-59.54680628
464,BRB,Saint James,13.1921339,-59.62325522
465,BRB,Saint John,13.17400619,-59.50284818
